,term,score
0,tarbell,0.6957793951480865
1,she,0.2557514237593679
2,her,0.24862255166865338
3,lincoln,0.18877337829889343
4,miss,0.1752898408915232
5,oil,0.12266547986604484
6,abraham,0.10588052218949878
7,mcclure,0.10441714780817439
8,easton,0.09382958304601649
9,volumes,0.08839533366766139
10,minerva,0.07835402613303495
11,standard,0.07653911857540549
12,business,0.07568067890879143
13,titusville,0.07323993633137753
14,articles,0.07049318036712028
15,bridgeport,0.06679694515732552
16,expose,0.06679694515732552
17,trusts,0.05938325226880141
18,mme,0.05938325226880141
19,magazine,0.05931807691499
20,ida,0.05805435089640682
21,wendell,0.05805435089640682
22,work,0.057207248905586344
23,gary,0.05575474780954013
24,arizona,0.05294026109474939
25,biographer,0.05294026109474939
26,editor,0.0499978147813061
27,lectured,0.049311756635488126
28,pa,0.047012153548621434
29,contrary,0.045526568206225276
30,davis,0.044197666833830695
31,conn,0.044197666833830695
32,trust,0.04338364908936017
33,chiefly,0.04261899695540131
34,rev,0.04189806374696401
35,judge,0.04121611943320444
36,biography,0.04056916237456943
37,degree,0.040227039279566015
38,redding,0.039177013066517476
39,stael,0.039177013066517476
40,nationalizing,0.039177013066517476
41,ericson,0.039177013066517476
42,meadville,0.039177013066517476
43,tupper,0.039177013066517476
44,chautauquan,0.039177013066517476
45,rouseville,0.039177013066517476
46,amelioration,0.039177013066517476
47,mccan,0.039177013066517476
48,mccullough,0.039177013066517476
49,life,0.03820540297771542
50,industrial,0.03800949033406833
51,cogs,0.036619968165688764
52,mediocrity,0.036619968165688764
53,newspapers,0.036552538142186404
54,studies,0.03566705903156956
55,franklin,0.03545507257291199
56,associated,0.03545507257291199
57,erie,0.03480571593605813
58,bonaparte,0.03480571593605813
59,owen,0.03480571593605813
60,roland,0.03480571593605813
61,nieces,0.03480571593605813
62,installments,0.03480571593605813
63,aldrich,0.03339847257866276
64,buster,0.03339847257866276
65,tucson,0.03339847257866276
66,officiate,0.03339847257866276
67,fearless,0.03339847257866276
68,willkie,0.03339847257866276
69,sorbonne,0.03339847257866276
70,grit,0.03339847257866276
71,chautauqua,0.03339847257866276
72,roswell,0.03339847257866276
73,socialized,0.03339847257866276
74,history,0.033038977954206634
75,conference,0.03298149572939561
76,published,0.03293055733613207
77,allegheny,0.032248671035229416
78,1857,0.032248671035229416
79,tristan,0.032248671035229416
80,brookline,0.032248671035229416
81,esther,0.032248671035229416
82,footsteps,0.032248671035229416
83,american,0.03223202553364807
84,consented,0.03127652768200549
85,terms,0.031061915979691872
86,de,0.030624430596058454
87,frequently,0.03048191046514748
88,entrusted,0.03043441880559878
89,evils,0.03043441880559878
90,temperance,0.03043441880559878
91,analytical,0.03043441880559878
92,became,0.0299766733008967
93,church,0.02979250951659507
94,scouts,0.029691626134400705
95,nephew,0.029691626134400705
96,sewing,0.029691626134400705
97,menace,0.029691626134400705
98,winters,0.029691626134400705
99,undertakings,0.029691626134400705
100,although,0.029571460018476037
101,fame,0.029526965026784046
102,president,0.02912417332132714
103,fairness,0.02902717544820341
104,eric,0.02902717544820341
105,stead,0.02902717544820341
106,contributing,0.02842610668940727
107,beings,0.02842610668940727
108,wooden,0.02842610668940727
109,domain,0.02842610668940727
110,paris,0.028158709808470125
111,harding,0.027877373904770065
112,manage,0.027877373904770065
113,napoleon,0.027877373904770065
114,jesse,0.027877373904770065
115,resided,0.027877373904770065
116,contribute,0.027877373904770065
117,expectations,0.027877373904770065
118,creek,0.027877373904770065
119,consulting,0.027877373904770065
120,tanks,0.02737258867562887
121,manufacturer,0.026905230551546148
122,keenly,0.026905230551546148
123,closer,0.026470130547374696
124,prohibition,0.026470130547374696
125,sarah,0.026470130547374696
126,terror,0.026470130547374696
127,called,0.02618250063472582
128,knew,0.026097092977940044
129,unemployment,0.026063121675139432
130,roads,0.026063121675139432
131,methodist,0.026063121675139432
132,prominence,0.025680795608160004
133,completion,0.025680795608160004
134,socialism,0.025680795608160004
135,christ,0.025680795608160004
136,treat,0.025680795608160004
137,supporter,0.025680795608160004
138,social,0.025606256826098787
139,1883,0.025320329003941357
140,collaboration,0.025320329003941357
141,equality,0.025320329003941357
142,hospital,0.025226892969597143
143,scott,0.024979356847061568
144,1891,0.024979356847061568
145,use,0.02494967527452464
146,visitor,0.024655878317744063
147,86,0.024655878317744063
148,managing,0.024655878317744063
149,circuit,0.024655878317744063
150,three,0.02458682125896783
151,sheer,0.02434818565071743
152,machines,0.02434818565071743
153,episcopal,0.02434818565071743
154,assignment,0.024054809558947923
155,interpretation,0.024054809558947923
156,lacked,0.024054809558947923
157,extreme,0.024054809558947923
158,dry,0.024054809558947923
159,college,0.023982359118356243
160,ann,0.02377447679900973
161,poland,0.02377447679900973
162,billy,0.02377447679900973
163,asked,0.02364822309116776
164,ardent,0.023506076774310717
165,remaining,0.023506076774310717
166,1894,0.023506076774310717
167,authors,0.023506076774310717
168,1880,0.02324863496034869
169,sex,0.02324863496034869
170,element,0.02300129154516952
171,clark,0.02300129154516952
172,appeared,0.022849671807721388
173,other,0.022733096004425798
174,movements,0.022533933421086796
175,communism,0.02231263181314962
176,entitled,0.02231263181314962
177,mere,0.02231263181314962
178,valley,0.022098833416915348
179,serving,0.022098833416915348
180,magazines,0.022098833416915348
181,mrs,0.021953704890754717
182,extensive,0.021892046081650386
183,rock,0.021892046081650386
184,pneumonia,0.021892046081650386
185,lee,0.021892046081650386
186,pennsylvania,0.021691824544680084
187,patient,0.021691824544680084
188,democracy,0.021691824544680084
189,dean,0.021691824544680084
190,gift,0.021691824544680084
191,type,0.021497764658119208
192,reform,0.021497764658119208
193,wing,0.021309498477700656
194,historical,0.021309498477700656
195,graduation,0.021126690063691427
196,originally,0.020949031873482005
197,golden,0.020949031873482005
198,reflected,0.020949031873482005
199,girls,0.020949031873482005
200,conditions,0.02060805971660222
201,good,0.020460113900749432
202,1904,0.02044424664434081
203,surviving,0.02044424664434081
